Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,49.919998,50.009998,46.250000,46.970001,42.278084,42590400
2015-01-08,47.480000,48.500000,44.470001,45.310001,40.783913,56548300
2015-01-15,45.090000,49.599998,44.610001,49.180000,44.267326,57643900
2015-01-22,49.930000,51.060001,48.279999,48.459999,43.619240,53395000
2015-01-29,48.669998,50.349998,44.810001,46.959999,42.269089,77611600
2015-02-05,46.930000,46.980000,43.709999,44.980000,40.486874,57113200
2015-02-12,44.349998,45.450001,43.349998,45.270000,40.747906,54163600
2015-02-19,46.860001,48.270000,45.509998,46.840000,42.246014,63265700
2015-02-26,47.200001,47.380001,44.270000,45.150002,40.721767,64296800
2015-03-05,45.470001,45.470001,43.270000,44.020000,39.702599,46600600
2015-03-12,44.130001,46.950001,44.070000,45.810001,41.317024,58446000
2015-03-19,46.360001,47.630001,44.380001,44.520000,40.153561,68783900
2015-03-26,43.139999,45.900002,42.599998,43.259998,39.017136,61199500
2015-04-02,42.910000,43.369999,41.020000,43.290001,39.044193,57260600
2015-04-09,43.419998,45.340000,42.450001,44.200001,39.864944,61147400
2015-04-16,44.200001,46.619999,44.160000,46.529999,41.966408,50750000
2015-04-23,46.270000,47.380001,44.259998,45.029999,40.613529,50503000
2015-04-30,44.759998,46.500000,42.840000,44.060001,39.738670,54513300
2015-05-07,44.270000,47.980000,44.270000,46.779999,42.278584,62456600
2015-05-14,47.340000,47.939999,43.160000,43.619999,39.422649,76762200
2015-05-21,43.500000,44.150002,41.720001,42.529999,38.437527,57864500
2015-05-28,42.639999,44.790001,41.889999,43.240002,39.079220,69425000
2015-06-04,43.400002,44.110001,38.970001,41.060001,37.108982,82548000
2015-06-11,41.330002,41.790001,40.040001,40.799999,36.874016,42119600
2015-06-18,40.669998,43.709999,40.459999,42.660000,38.555023,43997500
2015-06-25,42.980000,43.380001,38.810001,40.270000,36.395000,70644900
2015-07-02,40.230000,41.299999,39.750000,40.169998,36.304619,38804500
2015-07-09,40.580002,44.430000,40.490002,43.990002,39.757046,69626200
2015-07-16,44.500000,45.419998,43.959999,45.220001,40.868690,45337900
2015-07-23,46.299999,46.639999,43.049999,44.180000,39.928764,45281500
2015-07-30,44.160000,47.099998,43.639999,46.299999,41.844765,40537100
2015-08-06,46.480000,47.480000,44.770000,46.599998,42.238918,40743900
2015-08-13,46.889999,48.299999,46.470001,47.080002,42.674000,41672900
2015-08-20,46.549999,47.080002,34.610001,43.700001,39.610321,64303400
2015-08-27,44.189999,46.000000,42.770000,45.990002,41.686008,56943000
2015-09-03,46.060001,47.189999,44.310001,46.009998,41.704136,37656100
2015-09-10,46.290001,47.410000,46.119999,47.090000,42.683071,37745900
2015-09-17,47.310001,48.180000,45.930000,46.590000,42.229858,43863400
2015-09-24,46.330002,46.840000,43.570000,44.869999,40.670826,40156300
2015-10-01,44.709999,47.240002,43.349998,45.990002,41.686008,48463600
2015-10-08,45.799999,49.480000,45.169998,48.590000,44.042694,59160800
2015-10-15,48.950001,50.770000,48.080002,49.439999,44.813133,50054700
2015-10-22,50.139999,51.660000,49.349998,50.139999,45.447628,41911700
2015-10-29,50.040001,52.000000,49.610001,50.660000,45.918968,39575000
2015-11-05,50.830002,51.480000,49.549999,49.980000,45.422844,31137200
2015-11-12,49.990002,50.430000,46.650002,47.750000,43.396172,52266800
2015-11-19,48.200001,49.189999,46.369999,46.869999,42.596405,39839100
2015-11-26,46.990002,49.330002,46.439999,48.330002,43.923283,30475400
2015-12-03,48.419998,51.820000,47.849998,49.509998,44.995689,59853400
2015-12-10,49.709999,52.290001,48.759998,52.119999,47.367718,46005300
2015-12-17,51.980000,52.770000,49.959999,51.740002,47.022366,47189700
2015-12-24,51.709999,52.720001,51.070000,51.169998,46.504333,18489600
2015-12-31,51.000000,51.080002,47.040001,48.930000,44.468582,43167700
2016-01-07,48.389999,48.950001,44.540001,44.939999,40.842388,57375700
2016-01-14,45.029999,46.759998,42.540001,45.689999,41.523998,65905800
2016-01-21,46.650002,47.619999,44.619999,44.720001,40.642437,50194300
2016-01-28,44.840000,45.580002,42.110001,43.799999,39.806324,54478300
2016-02-04,43.779999,44.549999,40.029999,43.270000,39.324654,62539700
2016-02-11,42.619999,46.270000,42.139999,46.099998,41.896618,36039400
2016-02-18,46.400002,49.450001,45.980000,48.939999,44.618725,52922600
2016-02-25,49.080002,49.450001,47.400002,48.549999,44.263168,44776500
2016-03-03,48.590000,49.099998,46.009998,46.740002,42.612991,47801400
2016-03-10,47.000000,48.799999,46.279999,48.770000,44.463737,31882400
2016-03-17,48.580002,50.500000,48.060001,48.910000,44.591389,48483500
2016-03-24,48.480000,50.080002,47.360001,49.330002,44.974297,28108000
2016-03-31,49.369999,49.740002,46.720001,47.200001,43.032368,40395400
2016-04-07,47.000000,48.130001,45.410000,48.040001,43.798203,44296800
2016-04-14,48.950001,49.799999,46.209999,46.599998,42.485348,56549600
2016-04-21,46.279999,46.310001,43.060001,43.689999,39.832302,59006400
2016-04-28,43.439999,43.799999,41.169998,41.430000,37.771847,66834900
2016-05-05,41.590000,43.310001,40.950001,42.299999,38.565022,49897400
2016-05-12,42.439999,44.660000,40.639999,43.860001,40.116100,63101600
2016-05-19,43.270000,44.110001,42.549999,43.500000,39.786831,37013100
2016-05-26,43.470001,43.709999,42.400002,43.509998,39.795979,30384500
2016-06-02,42.770000,43.459999,41.000000,41.849998,38.277683,62907500
2016-06-09,41.750000,42.580002,38.639999,38.889999,35.570339,50462300
2016-06-16,38.369999,39.160000,37.680000,38.549999,35.259365,53192900
2016-06-23,39.000000,39.070000,32.599998,36.240002,33.146549,100165400
2016-06-30,36.259998,37.000000,34.080002,35.580002,32.542885,50601600
2016-07-07,35.540001,40.599998,35.500000,39.560001,36.183151,66809500
2016-07-14,40.330002,41.349998,39.500000,40.209999,36.777672,60859800
2016-07-21,39.110001,39.330002,38.270000,38.540001,35.250229,51850100
2016-07-28,38.500000,39.900002,36.169998,36.480000,33.366058,57775200
2016-08-04,36.520000,38.240002,36.020000,36.480000,33.366058,44948600
2016-08-11,36.580002,37.529999,35.840000,37.509998,34.496639,45704500
2016-08-18,37.369999,37.430000,36.070000,36.770000,33.816082,46005400
2016-08-25,36.639999,37.599998,35.900002,36.750000,33.797695,43885200
2016-09-01,37.000000,39.180000,36.320000,38.900002,35.774982,42033000
2016-09-08,38.860001,39.389999,36.880001,37.119999,34.137974,50483800
2016-09-15,37.090000,38.299999,36.590000,38.049999,34.993263,45266100
2016-09-22,38.160000,40.230000,37.910000,39.230000,36.078461,45761600
2016-09-29,39.060001,41.380001,38.930000,40.320000,37.080898,47587900
